HH,Div,Date,HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result,match_api_id,home_team_buildUpPlaySpeed,home_team_buildUpPlayPassing,home_team_chanceCreationPassing,home_team_chanceCreationCrossing,home_team_chanceCreationShooting,home_team_defencePressure,home_team_defenceAggression,home_team_defenceTeamWidth,home_team_avg_shots,home_team_avg_corners,home_team_avg_crosses,away_team_buildUpPlaySpeed,away_team_buildUpPlayPassing,away_team_chanceCreationPassing,away_team_chanceCreationCrossing,away_team_chanceCreationShooting,away_team_defencePressure,away_team_defenceAggression,away_team_defenceTeamWidth,away_team_avg_shots,away_team_avg_corners,away_team_avg_crosses,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,B365H,B365D,B365A,League_1729.0,League_4769.0,League_7809.0,League_10257.0,League_13274.0,League_19694.0,League_21518.0,home_player_1_overall_rating,home_player_2_overall_rating,home_player_3_overall_rating,home_player_4_overall_rating,home_player_5_overall_rating,home_player_6_overall_rating,home_player_7_overall_rating,home_player_8_overall_rating,home_player_9_overall_rating,home_player_10_overall_rating,home_player_11_overall_rating,away_player_1_overall_rating,away_player_2_overall_rating,away_player_3_overall_rating,away_player_4_overall_rating,away_player_5_overall_rating,away_player_6_overall_rating,away_player_7_overall_rating,away_player_8_overall_rating,away_player_9_overall_rating,away_player_10_overall_rating,away_player_11_overall_rating,outcome,country_id,league_id,season,stage,date,home_team_api_id,away_team_api_id,home_team_long_name,home_team_short_name,away_team_long_name,away_team_short_name
3103,E0,10/5/2008 0:00,Chelsea,Aston Villa,H,15,3,7,1,1.404039313100767,0.6931851418543434,0.9973676513600468,1.0821903013284373,1,489111,70,60,56,70,70,30,60,35,15.513157894736842,15.61589404,18.93092105263158,70,59,65,70,50,30,70,30,10.4375,10.75593220338983,18.93092105263158,5,2,3,3,0,0,1.5,4,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,88,82,78,88,83,81,84,86,86,83,83,80,74,76,79,75,77,77,84,83,81,81,Win,1729,1729,2008/2009,7,10/5/2008 0:00,8455,10252,Chelsea,CHE,Aston Villa,AVL
3109,E0,10/18/2008 0:00,Arsenal,Everton,H,14,3,7,4,1.429960038881089,0.739982451,0.9564200058496636,0.8964250999027973,1,489113,66,30,30,45,35,30,40,50,13.93092105263158,14.163879598662207,19.11842105263158,60,65,60,70,45,40,70,40,12.289473684210526,12.370860927152318,19.11842105263158,7,-4,3,1,0,0,1.36,4.5,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,72,85,76,83,78,88,76,82,85,86,82,74,78,82,76,82,75,72,75,77,84,Win,1729,1729,2008/2009,8,10/18/2008 0:00,9825,8668,Arsenal,ARS,Everton,EVE
3110,E0,10/18/2008 0:00,Aston Villa,Portsmouth,D,3,3,11,2,0.8143428015984447,0.9973676513600468,0.3158818367943843,0.4773733664542607,0,489115,70,59,65,70,50,30,70,30,10.4375,10.75593220338983,17.16,70,70,70,70,55,40,70,40,11.486842105263158,11.486842105263158,17.16,1,1,3,4,0,0,1.83,3.25,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80,81,76,79,80,84,77,77,83,81,81,83,77,78,78,72,66,73,75,69,81,76,Draw,1729,1729,2008/2009,8,10/18/2008 0:00,10252,8462,Aston Villa,AVL,Portsmouth,POR
3115,E0,10/18/2008 0:00,Middlesbrough,Chelsea,A,4,14,5,7,0.4276919753753105,0.5498683825680024,1.389295115530857,0.6199373582460309,-1,489116,70,70,70,70,50,30,70,30,11.526315789473683,11.526315789473683,19.730263157894736,70,60,56,70,70,30,60,35,15.513157894736842,15.61589404,19.730263157894736,-2,6,2,3,0,0,6,3.7,1.62,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,64,77,71,69,68,74,65,81,73,75,75,82,82,88,77,77,81,86,79,83,83,Defeat,1729,1729,2008/2009,8,10/18/2008 0:00,8549,8455,Middlesbrough,MID,Chelsea,CHE
3123,E0,10/26/2008 0:00,Chelsea,Liverpool,A,5,3,4,2,1.404039313100767,0.6931851418543434,1.3073998245100908,0.797062318,-1,489131,70,60,56,70,70,30,60,35,15.513157894736842,15.61589404,19.44407894736842,50,35,50,60,70,40,60,40,14.88157894736842,14.930693069306932,19.44407894736842,11,5,4,4,0,0,1.91,3.25,4.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,88,82,85,88,83,81,79,85,86,83,83,84,77,85,82,76,85,82,80,88,79,83,Defeat,1729,1729,2008/2009,9,10/26/2008 0:00,8455,8650,Chelsea,CHE,Liverpool,LIV
3125,E0,10/26/2008 0:00,Portsmouth,Fulham,D,12,5,8,6,0.3974511286316017,0.4650482597250658,0.6463878326996199,0.859704072,0,489129,70,70,70,70,55,40,70,40,11.486842105263158,11.486842105263158,16.67105263157895,60,70,70,70,50,40,35,40,11.057017543859647,11.154867256637168,16.67105263157895,-2,-1,3,2,0,0,1.83,3.5,4.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,83,72,74,78,73,75,81,67,69,76,81,75,67,72,79,72,75,78,74,75,80,73,Draw,1729,1729,2008/2009,9,10/26/2008 0:00,8462,9879,Portsmouth,POR,Fulham,FUL
3135,E0,10/29/2008 0:00,Liverpool,Portsmouth,H,10,1,7,1,1.2333945350469817,0.6902603100321731,0.3158818367943843,0.4773733664542607,1,489138,50,35,50,60,70,40,60,40,14.88157894736842,14.930693069306932,17.16,70,70,70,70,55,40,70,40,11.486842105263158,11.486842105263158,17.16,5,-3,4,2,0,0,1.33,5,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,84,77,77,85,76,76,82,76,81,88,80,83,72,74,78,73,78,73,75,81,69,76,Win,1729,1729,2008/2009,10,10/29/2008 0:00,8650,8462,Liverpool,LIV,Portsmouth,POR
3139,E0,11/1/2008 0:00,Chelsea,Sunderland,H,11,0,4,0,1.404039313100767,0.6931851418543434,0.6405381690552794,0.9158656442380386,1,489151,70,60,56,70,70,30,60,35,15.513157894736842,15.61589404,16.61513157894737,60,70,70,70,55,35,70,35,10.24342105263158,10.591836734693878,16.61513157894737,11,1,4,2,0,0,1.17,6.5,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,88,82,82,88,83,85,81,86,84,83,83,67,76,72,76,71,75,72,73,76,63,77,Win,1729,1729,2008/2009,11,11/1/2008 0:00,8455,8472,Chelsea,CHE,Sunderland,SUN
3140,E0,11/1/2008 0:00,Everton,Fulham,H,4,5,6,5,1.0389890916945674,0.9534951740274936,0.6463878326996199,0.859704072,1,489144,60,65,60,70,45,40,70,40,12.289473684210526,12.370860927152318,16.67105263157895,60,70,70,70,50,40,35,40,11.057017543859647,11.154867256637168,16.67105263157895,-3,-1,1,1,0,0,1.67,3.75,5.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,82,76,80,78,82,77,75,75,82,80,84,75,67,72,79,72,75,78,74,75,73,80,Win,1729,1729,2008/2009,11,11/1/2008 0:00,8668,9879,Everton,EVE,Fulham,FUL
3152,E0,11/8/2008 0:00,Sunderland,Portsmouth,A,6,5,8,3,0.5875364510206286,0.8832992102954081,0.3158818367943843,0.4773733664542607,-1,489154,60,70,70,70,55,35,70,35,10.24342105263158,10.591836734693878,17.16,70,70,70,70,55,40,70,40,11.486842105263158,11.486842105263158,17.16,-3,-1,2,1,0,0,2.38,3.3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67,71,76,72,71,75,72,73,76,78,69,83,77,78,78,72,81,73,81,73,76,81,Defeat,1729,1729,2008/2009,12,11/8/2008 0:00,8472,8462,Sunderland,SUN,Portsmouth,POR
