Unnamed: 0,Div,Date,HR,AR,FTHG,HTAG,HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result,match_api_id,home_team_buildUpPlaySpeed,home_team_buildUpPlayPassing,home_team_chanceCreationPassing,home_team_chanceCreationCrossing,home_team_chanceCreationShooting,home_team_defencePressure,home_team_defenceAggression,home_team_defenceTeamWidth,home_team_avg_shots,home_team_avg_corners,home_team_avg_crosses,away_team_buildUpPlaySpeed,away_team_buildUpPlayPassing,away_team_chanceCreationPassing,away_team_chanceCreationCrossing,away_team_chanceCreationShooting,away_team_defencePressure,away_team_defenceAggression,away_team_defenceTeamWidth,away_team_avg_shots,away_team_avg_corners,away_team_avg_crosses,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,B365H,B365D,B365A,League_1729.0,League_4769.0,League_7809.0,League_10257.0,League_13274.0,League_19694.0,League_21518.0,home_player_1_overall_rating,home_player_2_overall_rating,home_player_3_overall_rating,home_player_4_overall_rating,home_player_5_overall_rating,home_player_6_overall_rating,home_player_7_overall_rating,home_player_8_overall_rating,home_player_9_overall_rating,home_player_10_overall_rating,home_player_11_overall_rating,away_player_1_overall_rating,away_player_2_overall_rating,away_player_3_overall_rating,away_player_4_overall_rating,away_player_5_overall_rating,away_player_6_overall_rating,away_player_7_overall_rating,away_player_8_overall_rating,away_player_9_overall_rating,away_player_10_overall_rating,away_player_11_overall_rating,outcome,country_id,league_id,season,stage,date,home_team_api_id,away_team_api_id,home_team_long_name,home_team_short_name,away_team_long_name,away_team_short_name
3103,E0,2008-10-05 00:00:00,0,0,2,0,Chelsea,Aston Villa,H,15,3,7,1,1.404039313100767,0.6931851418543434,0.9973676513600468,1.0821903013284373,1,489111.0,70.0,60.0,56.0,70.0,70.0,30.0,60.0,35.0,15.513157894736842,15.6158940397351,18.93092105263158,70.0,59.0,65.0,70.0,50.0,30.0,70.0,30.0,10.4375,10.75593220338983,18.93092105263158,5.0,2.0,3.0,3.0,0.0,0.0,1.5,4.0,7.0,True,False,False,False,False,False,False,88.0,82.0,78.0,88.0,83.0,81.0,84.0,86.0,86.0,83.0,83.0,80.0,74.0,76.0,79.0,75.0,77.0,77.0,84.0,83.0,81.0,81.0,Win,1729,1729,2008/2009,7,2008-10-05 00:00:00,8455,10252,Chelsea,CHE,Aston Villa,AVL
3109,E0,2008-10-18 00:00:00,0,0,3,1,Arsenal,Everton,H,14,3,7,4,1.429960038881089,0.739982451009067,0.9564200058496636,0.8964250999027973,1,489113.0,66.0,30.0,30.0,45.0,35.0,30.0,40.0,50.0,13.93092105263158,14.163879598662207,19.11842105263158,60.0,65.0,60.0,70.0,45.0,40.0,70.0,40.0,12.289473684210526,12.370860927152318,19.11842105263158,7.0,-4.0,3.0,1.0,0.0,0.0,1.36,4.5,10.0,True,False,False,False,False,False,False,79.0,72.0,85.0,76.0,83.0,78.0,88.0,76.0,82.0,85.0,86.0,82.0,74.0,78.0,82.0,76.0,82.0,75.0,72.0,75.0,77.0,84.0,Win,1729,1729,2008/2009,8,2008-10-18 00:00:00,9825,8668,Arsenal,ARS,Everton,EVE
3110,E0,2008-10-18 00:00:00,0,1,0,0,Aston Villa,Portsmouth,D,3,3,11,2,0.8143428015984447,0.9973676513600468,0.3158818367943843,0.4773733664542607,0,489115.0,70.0,59.0,65.0,70.0,50.0,30.0,70.0,30.0,10.4375,10.75593220338983,17.16,70.0,70.0,70.0,70.0,55.0,40.0,70.0,40.0,11.486842105263158,11.486842105263158,17.16,1.0,1.0,3.0,4.0,0.0,0.0,1.83,3.25,5.0,True,False,False,False,False,False,False,80.0,81.0,76.0,79.0,80.0,84.0,77.0,77.0,83.0,81.0,81.0,83.0,77.0,78.0,78.0,72.0,66.0,73.0,75.0,69.0,81.0,76.0,Draw,1729,1729,2008/2009,8,2008-10-18 00:00:00,10252,8462,Aston Villa,AVL,Portsmouth,POR
3115,E0,2008-10-18 00:00:00,0,0,0,1,Middlesbrough,Chelsea,A,4,14,5,7,0.4276919753753105,0.5498683825680024,1.389295115530857,0.6199373582460309,-1,489116.0,70.0,70.0,70.0,70.0,50.0,30.0,70.0,30.0,11.526315789473683,11.526315789473683,19.730263157894736,70.0,60.0,56.0,70.0,70.0,30.0,60.0,35.0,15.513157894736842,15.6158940397351,19.730263157894736,-2.0,6.0,2.0,3.0,0.0,0.0,6.0,3.7,1.62,True,False,False,False,False,False,False,70.0,64.0,77.0,71.0,69.0,68.0,74.0,65.0,81.0,73.0,75.0,75.0,82.0,82.0,88.0,77.0,77.0,81.0,86.0,79.0,83.0,83.0,Defeat,1729,1729,2008/2009,8,2008-10-18 00:00:00,8549,8455,Middlesbrough,MID,Chelsea,CHE
3123,E0,2008-10-26 00:00:00,0,0,0,1,Chelsea,Liverpool,A,5,3,4,2,1.404039313100767,0.6931851418543434,1.3073998245100908,0.797062317744897,-1,489131.0,70.0,60.0,56.0,70.0,70.0,30.0,60.0,35.0,15.513157894736842,15.6158940397351,19.44407894736842,50.0,35.0,50.0,60.0,70.0,40.0,60.0,40.0,14.88157894736842,14.930693069306932,19.44407894736842,11.0,5.0,4.0,4.0,0.0,0.0,1.91,3.25,4.5,True,False,False,False,False,False,False,88.0,82.0,85.0,88.0,83.0,81.0,79.0,85.0,86.0,83.0,83.0,84.0,77.0,85.0,82.0,76.0,85.0,82.0,80.0,88.0,79.0,83.0,Defeat,1729,1729,2008/2009,9,2008-10-26 00:00:00,8455,8650,Chelsea,CHE,Liverpool,LIV
3125,E0,2008-10-26 00:00:00,0,0,1,0,Portsmouth,Fulham,D,12,5,8,6,0.3974511286316017,0.4650482597250658,0.6463878326996199,0.859704071714008,0,489129.0,70.0,70.0,70.0,70.0,55.0,40.0,70.0,40.0,11.486842105263158,11.486842105263158,16.67105263157895,60.0,70.0,70.0,70.0,50.0,40.0,35.0,40.0,11.057017543859647,11.154867256637168,16.67105263157895,-2.0,-1.0,3.0,2.0,0.0,0.0,1.83,3.5,4.5,True,False,False,False,False,False,False,83.0,72.0,74.0,78.0,73.0,75.0,81.0,67.0,69.0,76.0,81.0,75.0,67.0,72.0,79.0,72.0,75.0,78.0,74.0,75.0,80.0,73.0,Draw,1729,1729,2008/2009,9,2008-10-26 00:00:00,8462,9879,Portsmouth,POR,Fulham,FUL
3135,E0,2008-10-29 00:00:00,0,0,1,0,Liverpool,Portsmouth,H,10,1,7,1,1.2333945350469817,0.6902603100321731,0.3158818367943843,0.4773733664542607,1,489138.0,50.0,35.0,50.0,60.0,70.0,40.0,60.0,40.0,14.88157894736842,14.930693069306932,17.16,70.0,70.0,70.0,70.0,55.0,40.0,70.0,40.0,11.486842105263158,11.486842105263158,17.16,5.0,-3.0,4.0,2.0,0.0,0.0,1.33,5.0,10.0,True,False,False,False,False,False,False,84.0,77.0,77.0,85.0,76.0,76.0,82.0,76.0,81.0,88.0,80.0,83.0,72.0,74.0,78.0,73.0,78.0,73.0,75.0,81.0,69.0,76.0,Win,1729,1729,2008/2009,10,2008-10-29 00:00:00,8650,8462,Liverpool,LIV,Portsmouth,POR
3139,E0,2008-11-01 00:00:00,0,0,5,0,Chelsea,Sunderland,H,11,0,4,0,1.404039313100767,0.6931851418543434,0.6405381690552794,0.9158656442380386,1,489151.0,70.0,60.0,56.0,70.0,70.0,30.0,60.0,35.0,15.513157894736842,15.6158940397351,16.61513157894737,60.0,70.0,70.0,70.0,55.0,35.0,70.0,35.0,10.24342105263158,10.591836734693878,16.61513157894737,11.0,1.0,4.0,2.0,0.0,0.0,1.17,6.5,21.0,True,False,False,False,False,False,False,88.0,82.0,82.0,88.0,83.0,85.0,81.0,86.0,84.0,83.0,83.0,67.0,76.0,72.0,76.0,71.0,75.0,72.0,73.0,76.0,63.0,77.0,Win,1729,1729,2008/2009,11,2008-11-01 00:00:00,8455,8472,Chelsea,CHE,Sunderland,SUN
3140,E0,2008-11-01 00:00:00,0,0,1,0,Everton,Fulham,H,4,5,6,5,1.0389890916945674,0.9534951740274936,0.6463878326996199,0.859704071714008,1,489144.0,60.0,65.0,60.0,70.0,45.0,40.0,70.0,40.0,12.289473684210526,12.370860927152318,16.67105263157895,60.0,70.0,70.0,70.0,50.0,40.0,35.0,40.0,11.057017543859647,11.154867256637168,16.67105263157895,-3.0,-1.0,1.0,1.0,0.0,0.0,1.67,3.75,5.5,True,False,False,False,False,False,False,82.0,76.0,80.0,78.0,82.0,77.0,75.0,75.0,82.0,80.0,84.0,75.0,67.0,72.0,79.0,72.0,75.0,78.0,74.0,75.0,73.0,80.0,Win,1729,1729,2008/2009,11,2008-11-01 00:00:00,8668,9879,Everton,EVE,Fulham,FUL
3152,E0,2008-11-08 00:00:00,0,0,1,0,Sunderland,Portsmouth,A,6,5,8,3,0.5875364510206286,0.8832992102954081,0.3158818367943843,0.4773733664542607,-1,489154.0,60.0,70.0,70.0,70.0,55.0,35.0,70.0,35.0,10.24342105263158,10.591836734693878,17.16,70.0,70.0,70.0,70.0,55.0,40.0,70.0,40.0,11.486842105263158,11.486842105263158,17.16,-3.0,-1.0,2.0,1.0,0.0,0.0,2.38,3.3,3.0,True,False,False,False,False,False,False,67.0,71.0,76.0,72.0,71.0,75.0,72.0,73.0,76.0,78.0,69.0,83.0,77.0,78.0,78.0,72.0,81.0,73.0,81.0,73.0,76.0,81.0,Defeat,1729,1729,2008/2009,12,2008-11-08 00:00:00,8472,8462,Sunderland,SUN,Portsmouth,POR
